,open,high,low,close,adjusted_close,volume,dividend
1999-12-31,91.06,119.94,90.87,116.75,35.8606,630488900.0,0.0
2000-01-31,117.37,118.62,94.87,97.87,30.0615,637437600.0,0.0
2000-02-29,98.5,110.0,88.12,89.37,27.4506,667243800.0,0.0
2000-03-31,89.62,115.0,88.94,106.25,32.6354,1014093800.0,0.0
2000-04-28,94.44,96.5,65.0,69.75,21.4242,1129073300.0,0.0
2000-05-31,72.87,74.0,60.38,62.56,19.2157,672215400.0,0.0
2000-06-30,64.37,82.19,63.81,80.0,24.5726,733525100.0,0.0
2000-07-31,79.69,82.87,67.25,69.81,21.4426,617092900.0,0.0
2000-08-31,69.94,74.87,68.12,69.81,21.4426,609699900.0,0.0
2000-09-29,70.0,72.06,58.63,60.31,18.5246,712766900.0,0.0
2000-10-31,60.5,70.12,48.44,68.87,21.1539,1234707800.0,0.0
2000-11-30,68.5,72.37,57.0,57.38,17.6247,991731300.0,0.0
2000-12-29,58.06,60.63,40.31,43.38,13.3245,1028334100.0,0.0
2001-01-31,44.13,64.75,42.88,61.06,18.755,1002765600.0,0.0
2001-02-28,60.81,65.06,53.88,59.0,18.1223,768447800.0,0.0
2001-03-30,58.56,61.13,49.75,54.69,16.7984,947674900.0,0.0
2001-04-30,54.81,71.1,51.06,67.75,20.8099,1037903500.0,0.0
2001-05-31,67.66,72.15,67.25,69.18,21.2491,888652900.0,0.0
2001-06-29,69.6,76.15,66.01,73.0,22.4225,724588900.0,0.0
2001-07-31,72.05,73.15,64.2,66.19,20.3307,727600500.0,0.0
2001-08-31,66.8,67.54,56.3,57.05,17.5233,576948200.0,0.0
2001-09-28,57.19,59.08,47.5,51.17,15.7172,755412200.0,0.0
2001-10-31,50.94,63.63,50.41,58.15,17.8612,875445500.0,0.0
2001-11-30,60.08,68.34,59.6,64.21,19.7226,665484300.0,0.0
2001-12-31,63.83,69.89,63.8,66.25,20.3492,488544500.0,0.0
2002-01-31,66.65,70.62,61.33,63.71,19.569,680057900.0,0.0
2002-02-28,64.15,64.5,57.15,58.34,17.9195,565579600.0,0.0
2002-03-28,59.05,65.0,58.31,60.31,18.5246,536622100.0,0.0
2002-04-30,59.83,60.4,51.44,52.26,16.052,708739700.0,0.0
2002-05-31,52.16,56.44,48.35,50.91,15.6374,710133100.0,0.0
2002-06-28,50.99,56.44,49.17,54.7,16.8015,917036500.0,0.0
2002-07-31,54.12,54.93,41.41,47.98,14.7374,1216094000.0,0.0
2002-08-30,47.58,53.45,43.8,49.08,15.0753,857878600.0,0.0
2002-09-30,48.52,51.1,43.11,43.74,13.435,847852900.0,0.0
2002-10-31,44.32,54.07,43.19,53.47,16.4237,1237685300.0,0.0
2002-11-29,52.43,58.64,51.9,57.68,17.7168,777998600.0,0.0
2002-12-31,58.65,58.96,51.26,51.7,15.88,634185100.0,0.0
2003-01-31,52.3,57.32,47.03,47.46,14.5777,859331100.0,0.0
2003-02-28,47.93,49.1,23.3,23.7,14.6067,910628150.0,0.08
2003-03-31,24.02,26.8,22.55,24.21,14.921,1371902600.0,0.0
2003-04-30,24.46,26.43,23.95,25.57,15.7592,1249617700.0,0.0
2003-05-30,25.54,26.5,23.89,24.61,15.1676,1311003700.0,0.0
2003-06-30,24.98,26.51,23.6,25.64,15.8024,1569995800.0,0.0
2003-07-31,25.59,27.81,25.39,26.41,16.2769,1292011000.0,0.0
2003-08-29,26.33,26.95,25.43,26.52,16.3447,966506900.0,0.0
2003-09-30,26.7,30.0,26.47,27.8,17.1336,1253309100.0,0.0
2003-10-31,28.03,29.46,25.91,26.14,16.1992,1400032500.0,0.16
2003-11-28,26.35,26.75,24.84,25.71,15.9327,1442336700.0,0.0
2003-12-31,25.9,27.55,25.5,27.37,16.9615,1476461300.0,0.0
2004-01-30,27.58,28.83,27.26,27.65,17.135,1232189000.0,0.0
2004-02-27,27.63,27.8,26.35,26.53,16.4409,1032065600.0,0.0
2004-03-31,26.65,26.72,24.01,24.93,15.4494,1703041000.0,0.0
2004-04-30,24.95,27.72,24.85,26.13,16.193,1558947800.0,0.0
2004-05-28,26.21,26.6,25.42,26.23,16.255,1141456900.0,0.0
2004-06-30,26.12,28.8,25.86,28.56,17.6989,1534889700.0,0.0
2004-07-30,28.69,29.89,27.25,28.49,17.6555,1550446900.0,0.0
2004-08-31,28.27,28.55,25.95,27.3,16.9678,1094195300.0,0.08
2004-09-30,27.24,27.79,26.74,27.65,17.1853,1141012300.0,0.0
2004-10-29,27.81,28.89,27.42,27.97,17.3842,1300591200.0,0.0
2004-11-30,28.15,30.2,24.86,26.81,18.537,1739407300.0,3.08
2004-12-31,26.95,27.44,26.679,26.72,18.4748,1803777700.0,0.0
2005-01-31,26.8,27.1,25.64,26.28,18.1705,1521414300.0,0.0
2005-02-28,26.25,26.5,25.1296,25.16,17.4498,1361126000.0,0.08
2005-03-31,25.2,25.79,23.82,24.17,16.7632,1541411300.0,0.0
2005-04-29,24.24,25.45,23.94,25.3,17.5469,1520253700.0,0.0
2005-05-31,25.23,26.09,24.31,25.8,17.9498,1270563700.0,0.08
2005-06-30,25.73,26.0,24.82,24.84,17.2819,1303029500.0,0.0
2005-07-29,24.85,26.48,24.5,25.61,17.8177,1321407700.0,0.0
2005-08-31,25.82,27.94,25.76,27.38,19.1053,1441979300.0,0.08
2005-09-30,27.38,27.39,25.12,25.73,17.9539,1348861500.0,0.0
2005-10-31,25.71,25.8,24.25,25.7,17.933,1439659900.0,0.0
2005-11-30,25.61,28.25,25.61,27.68,19.3708,1444948300.0,0.08
2005-12-30,27.73,28.101,26.1,26.15,18.3001,1271695500.0,0.0
2006-01-31,26.25,28.38,26.1,28.15,19.6997,1388622700.0,0.0
2006-02-28,27.95,28.07,26.34,26.87,18.8669,1047699000.0,0.09
2006-03-31,26.99,28.22,26.62,27.21,19.1056,1437940900.0,0.0
2006-04-28,27.67,27.941,24.0,24.15,16.957,1446126900.0,0.0
2006-05-31,24.33,25.0,22.45,22.65,15.9656,2309193400.0,0.09
2006-06-30,22.74,23.65,21.4599,23.3,16.4238,1971637200.0,0.0
2006-07-31,23.53,24.6,22.23,24.06,16.9595,1332298100.0,0.0
2006-08-31,24.02,26.2501,23.85,25.7,18.1818,1134188400.0,0.09
2006-09-29,25.89,27.52,25.39,27.35,19.3491,1097482600.0,0.0
2006-10-31,27.32,28.8501,27.15,28.71,20.3112,1290967400.0,0.0
2006-11-30,28.78,30.0001,28.58,29.36,20.8421,1239142000.0,0.1
2006-12-29,29.23,30.26,28.8,29.86,21.1971,1137160900.0,0.0
2007-01-31,29.91,31.48,29.4,30.86,21.907,1324518200.0,0.0
2007-02-28,30.84,30.94,27.79,28.17,20.0663,1290850900.0,0.1
2007-03-30,27.82,28.55,26.6,27.87,19.8526,1269506500.0,0.0
2007-04-30,27.89,30.74,27.56,29.94,21.3271,958964900.0,0.0
2007-05-31,29.94,31.16,29.9,30.6901,21.9322,1327154700.0,0.1
2007-06-29,30.79,30.9,29.04,29.47,21.0603,1181412800.0,0.0
2007-07-31,29.67,31.84,28.95,28.99,20.7173,1295548000.0,0.0
2007-08-31,28.97,30.1,27.51,28.73,20.6041,1228579500.0,0.1
2007-09-28,28.5,29.85,28.27,29.46,21.1276,1117419500.0,0.0
2007-10-31,29.46,37.0,29.29,36.81,26.3987,1772076700.0,0.0
2007-11-30,36.53,37.5,32.68,33.6,24.1736,1830846800.0,0.11
2007-12-31,33.5,36.72,32.63,35.6,25.6125,1064817100.0,0.0
2008-01-31,35.79,35.96,31.04,32.6,23.4541,1950301600.0,0.0
2008-02-29,31.06,33.25,27.02,27.1999,19.6454,2324580800.0,0.11
2008-03-31,27.24,29.59,26.87,28.38,20.4978,1452390200.0,0.0
2008-04-30,28.83,32.1,27.93,28.52,20.5989,1444720000.0,0.0
2008-05-30,28.48,30.53,27.95,28.32,20.53,1405170200.0,0.11
2008-06-30,28.24,29.57,27.11,27.51,19.9428,1560439100.0,0.0
2008-07-31,27.22,27.91,24.87,25.72,18.6452,1579425446.0,0.0
2008-08-29,25.95,28.5,25.07,27.29,19.863,1206949700.0,0.11
2008-09-30,27.665,27.76,23.5,26.69,19.4263,1927538700.0,0.0
